authorize v.授权,批准
simultaneous adj．同时发生的
accord v．同意，给予
nuptials n．婚礼
discharge v．流出，释放，解雇
shipwright n．造船者
heritage n．遗产，继承物
inculcate v．灌输，谆谆教诲
scrumptious adj．（食物）很可口的，漂亮的
portfolio n．文件夹,股份单
unflappable adj.镇定的，从容不迫的
refute v．驳斥
discrepancy n．不同，矛盾
occurrence n．事件，发生
disabuse v．打消（某人）的错误念头，纠正
cache v.贮藏，隐藏，n.藏物处
fidget v．坐立不安n．烦躁之人
recruit n．新兵，新成员v．征募
strife n．纷争，倾轧
gneiss n．片麻岩（一种艰硬的岩石）
arsenic n.砒霜，砷
alcove n．凹室，壁龛
epistemology n．认识论(对知识本质的研究)
sieve n．筛，滤杓v．筛出、滤出
dispel v．驱散，消除
scintilla n．一点，丝毫
amenable adj．愿服从的，通情达理的
mediocrity n．平庸，碌碌之人
cramped adj．狭窄的，挤在一起的
tonic n．增进健康之物，补品
compatibility n.和谐共处，不矛盾
liberality n．慷慨，心胸开阔
fiscal adj．公款的，财政的
delete v．删除
imperturbable adj．冷静的，沉着的
wag v．（狗尾巴等）摆动　n．诙谐幽默者
arboreal 　adj．树木的．
teem v．充满，到处都是v．倾盆大雨
effulgent adj．光辉的，灿烂的
dossier n．卷宗，档案
arduous adj．费力的，艰难的
valiant adj．勇敢的，英勇的
lace n．鞋带，花边
grisly adj．恐怖的，可怕的
reassurance n．安慰（的话），放心
astringent adj．止血的，收缩的n．收缩剂，止血剂
endemic adj．地方性的
sleight n．巧妙手法，巧计，灵巧（分割
suffocate v．（使）窒息而死
trek n．v．长途跋涉
extradite v．引渡回国,拿获归案
lambaste v．痛打，痛骂
somnolent adj．思睡的，催眠的
sophisticated adj．老于世故的，（仪器）精密的
uphold v．维护，支持
peer n．同等之人，同辈
trek n．v．长途跋涉
apiculture n．养蜂业
dissolute adj．放荡的，无节制的
assertive adj．言语果断的，断言的
concise adj．简洁的
peach v.揭发，检举
prefigure v．预示,预想
winding adj．蜿蜒的，迂回的
detrimental adj．损害的，造成伤害的
penalty n．刑罚，处罚
jaunty adj．愉快的，满足的
niggard n．吝啬鬼
satanic adj．穷凶极恶的
moult,molt v．脱毛，换羽毛
wreak v.泄愤，报仇
flamboyant adj．艳丽的，炫耀的
remains n．遗址，废墟
lace n．鞋带，花边
seduce v．勾引、诱惑
disdain v．轻视、鄙视
seafaring adj．航海的，跟航海有关的
waive v．放弃，推迟考虑
lacklustre adj．无光泽的，呆滞的
revocation n．废弃，取消
nethermost adj．最低的，最下方的
pervert v．使堕落，滥用
sparse adj．稀少的，贫乏的
droll adj．古怪的，好笑的
allude v．间接提到，暗指
indented adj．锯齿状的
alley n．小巷，小径
vapid adj．索然无味的
derangement n．精神错乱
stoke v.添加燃料，司炉，激起
chagrin n．v．失望，懊恼
trapezium n.梯形，不规则四边形
ingratitude n．忘恩负义
scorn n．v．轻蔑、瞧不起
sear v．（以烈火）烧灼
synopsis n．摘要，概要
dissipated adj．浪费的，放荡的
barrage n.火力网，弹幕
incisive adj．一针见血的
pretentiousness n．自命不凡
desolate adj．荒凉的，被遗弃的
asphyxiate v．（使）无法呼吸，窒息而死
anticipatory adj预期的
papyrus n．莎草，沙草纸
maturity n．成熟
scent n．气味，香气
recuperate v．恢复（健康），复原
badger v.一再烦扰,一再要求
belie v．掩饰，证明为假
compatible adj.和谐共处的，相容的
quickie n.草草完成的劣品
epicure n．美食家
posy n.小花束
respective adj．个别的，各自的
temptation n．引诱，诱惑物
renascent adj．新生的
trench n．沟，壕沟
cognomen n.姓
remiss adj．疏忽的，不留心的
debility n．衰弱，虚弱
inducement n．引诱物
detached adj．分开的、超然公平的
tableau n．画面，活人画（舞台上活人扮的静态画面）
savage adj．凶猛的，野蛮的
hazardous adj．有危险的
psephology n．选举学
slovenly adj．不整洁的，马虎的
epaulet n．肩章,肩饰
brawl v．n．争吵，打架
efface v．擦掉，抹去
opalescent adj．像蛋白石的，发乳白光的
errand n．差使,差事
pedant n．迂腐之人，书呆子
palette n．调色板
magenta n．adj．紫红色[福www哇FｖａL小cＮ说]（的染料）
jettison v．向外抛弃，n．抛弃的货物
inhale v．吸气
pare v.削去，剥去
finch n．雀科鸣禽（如燕雀，金丝雀等）
pendulum n．摆，钟摆．
panorama n．全景，概观
staccato adj．（音乐）断音的，不连贯的
paradigmatic adj．作为示范的，典范的
masquerade n．化装舞会，v．伪装
polyglot n．adj．通晓多种语言的(人)
austere adj.朴素的,(人)正经的
panel n．讨论小组，仪表板
plastered adj．抹上灰泥的
reproof n．斥责，责备
mattress n．床垫
contention n．争论，论点
benefactor n．行善者，捐助者
snare n．罗网，陷井
jilt v.抛弃，遗弃(情人或恋人)
lattice n．（做篱笆或爬藤架等的）格子架
regale v．款待，使…享受
obliging adj．恳切的，热心助人的
palliate v．减轻（痛苦），掩饰（罪行）
belch v.打嗝，喷出
totem n．图腾，崇拜物
conspire v．阴谋，谋叛
countenance n．面容，表情v．支持，赞成
nab v.逮捕，攫取
philately n．集邮
hack v．乱劈，乱砍，n．驽马
relinquish v．放弃，废除
derogatory adj．不敬的，诽谤的
pare v.削去，剥去
preemption n．先买权,取代
litigant n．诉讼当事人
zealous adj．热心的，一心一意的
impregnate v．怀孕，使充满
merchandise n．商品，货品
nippers n．钳子，镊子
potpourri n．混杂,杂文集,
miniature n．小画像，缩影
miscellaneous adj．多种的，混杂的
idiosyncrasy n．特殊癖性或行为
rancor n．深仇，怨恨
beholder h．目睹者
dredge v．用挖泥机疏浚，疏通
grimace v．做鬼脸，面部歪扭
shade n．阴影，细微差别
palette n．调色板
vascular adj．血管的，脉管的
inveigle v．诱骗，诱使
reconcile v．和解，调和
chinless adj.胆小的，畏缩的
demobilize v．遣散（军人），复员
impregnable adj．攻不破的，征服不了的
